NO	PT	SWH	SWT	SFB	SFT	SS	FWH	FWT	FFB	FFT	FS
1	5.5	107.1	5	42.9	10	164.9	455.5	6.8	182.2	10	2000
2	5.5	107.1	5	42.9	10	164.9	455.5	6.8	182.2	10	2000
3	6.2	56	5	22.4	10	202.9	495.1	5	198	10	2000
4	6.2	56	5	22.4	10	202.9	495.1	5	198	10	2000
5	5	50	5	20	10	281.9	297.1	5	118.8	10	2000
6	5	50	5	20	10	281.9	297.1	5	118.8	10	2000
7	5	50	5	20	10	406.6	317.2	5.2	126.9	10	2000
8	5	50	5	20	10	321.7	309.3	5	123.7	10	2000
9	5	50	5	20	10	297.2	207.9	5	83.2	10	2000
10	5	50	5	20	10	297.2	207.9	5	83.2	10	2000
11	5	50	5	20	10	500	267.9	5	107.2	10	2000
12	5	50	5	20	10	500	267.9	5	107.2	10	2000
13	5	50	5	20	10	500	232.1	5	92.8	10	2000
14	5	50	5	20	10	500	232.1	5	92.8	10	2000
15	5	50	5	20	10	453.1	234.6	5	93.8	10	2000
16	5	50	5	20	10	453.1	234.6	5	93.8	10	2000
17	5	50	5	20	10	225.9	100	5	50	10	2000
18	10	0	0	0	0	0	200	0	0	0	4833.3
19	10	0	0	0	0	0	200	0	0	0	4833.3
20	10	0	0	0	0	0	200	0	0	0	4833.3
