node: 1; soudures: 2
node: 2; soudures: 2
node: 3; soudures: 3
node: 4; soudures: 3
node: 5; soudures: 3
node: 6; soudures: 3
node: 7; soudures: 2
node: 8; soudures: 2
node: 9; soudures: 3
node: 10; soudures: 3
node: 11; soudures: 3
node: 12; soudures: 3
node: 13; soudures: 3
node: 14; soudures: 2
node: 15; soudures: 3
node: 16; soudures: 3
node: 17; soudures: 3
node: 18; soudures: 4
node: 19; soudures: 3
node: 20; soudures: 3
node: 21; soudures: 1
node: 22; soudures: 2
node: 23; soudures: 2
node: 24; soudures: 2
node: 25; soudures: 1
node: 26; soudures: 2
node: 27; soudures: 1
node: 28; soudures: 2
node: 29; soudures: 1
node: 30; soudures: 2
node: 31; soudures: 1
node: 32; soudures: 3
node: 33; soudures: 2
node: 34; soudures: 2
node: 35; soudures: 2
node: 36; soudures: 3
node: 37; soudures: 1
node: 38; soudures: 3
node: 39; soudures: 2
node: 40; soudures: 2
node: 41; soudures: 1
node: 42; soudures: 3
node: 43; soudures: 2
node: 44; soudures: 2
node: 45; soudures: 1
node: 46; soudures: 3
node: 47; soudures: 2
node: 48; soudures: 2
node: 49; soudures: 1
node: 50; soudures: 3
node: 51; soudures: 2
node: 52; soudures: 2
node: 53; soudures: 1
node: 54; soudures: 3
node: 55; soudures: 2
node: 56; soudures: 2
node: 57; soudures: 1
node: 58; soudures: 2
node: 59; soudures: 2
node: 60; soudures: 2
node: 61; soudures: 1
node: 62; soudures: 3
node: 63; soudures: 2
node: 64; soudures: 2
node: 65; soudures: 3
node: 66; soudures: 2
node: 67; soudures: 3
node: 68; soudures: 1
node: 69; soudures: 2
node: 70; soudures: 2
node: 71; soudures: 1
node: 72; soudures: 2
node: 73; soudures: 2
